fold_idx,classifier,ablation,seed,precision,recall,f1,tp,fp,fn,n_train,n_test,n_positive_test
0,logreg,appearance_only,0,nan,0.000000,nan,0,0,1,23,6,1
1,logreg,appearance_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
2,logreg,appearance_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
3,logreg,appearance_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
4,logreg,appearance_only,0,nan,nan,nan,0,0,0,24,5,0
0,logreg,trajectory_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
1,logreg,trajectory_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
2,logreg,trajectory_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
3,logreg,trajectory_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
4,logreg,trajectory_only,0,nan,nan,nan,0,0,0,24,5,0
0,logreg,combined,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
1,logreg,combined,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
2,logreg,combined,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
3,logreg,combined,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
4,logreg,combined,0,nan,nan,nan,0,0,0,24,5,0
0,lightgbm,appearance_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
1,lightgbm,appearance_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
2,lightgbm,appearance_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
3,lightgbm,appearance_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
4,lightgbm,appearance_only,0,nan,nan,nan,0,0,0,24,5,0
0,lightgbm,trajectory_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
1,lightgbm,trajectory_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
2,lightgbm,trajectory_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
3,lightgbm,trajectory_only,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
4,lightgbm,trajectory_only,0,nan,nan,nan,0,0,0,24,5,0
0,lightgbm,combined,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
1,lightgbm,combined,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
2,lightgbm,combined,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
3,lightgbm,combined,0,1.000000,1.000000,1.000000,1,0,0,23,6,1
4,lightgbm,combined,0,nan,nan,nan,0,0,0,24,5,0
